Protein
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
P59533(T2R38)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59536(T2R41)_site_1
P59538(T2R44)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59541(T2R47)_site_1
P59544(T2R50)_site_1
P59544(T2R50)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW7(T2R1)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW6(T2R3)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW5(T2R4)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW3(T2R7)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW2(T2R8)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYW0(T2R10)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV9(T2R13)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV8(T2R14)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
Q9NYV7(T2R16)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59533(T2R38)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59534(T2R39)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59536(T2R41)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59538(T2R44)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
P59540(T2R46)_site_1
